puesto,empresa,info_completa,enlace,ciudad
Nespresso - Data Analyst,Nestle,Barcelona - 17/04/2025,https://www.tecnoempleo.com/nespresso-data-analyst-nestle/sql-cognos/rf-06261714424d336c0d4b,Barcelona - 17/04/2025
Lead Data Analyst,Tangelo Games,Barcelona (Híbrido) - 10/04/2025,https://www.tecnoempleo.com/lead-data-analyst-tangelo-games/python-r-sql/rf-bdc918a442bc3313c041,Barcelona
TECHNICAL DATA ENGINEER (AMM) NH90,Airbus,Albacete - 08/04/2025,https://www.tecnoempleo.com/technical-data-engineer-amm-nh90-airbus/nh90/rf-5c63183d229e03db5343,Albacete - 08/04/2025
Data Analytics Intern,Criteo,Barcelona - 04/04/2025,https://www.tecnoempleo.com/data-analytics-intern-criteo/sql-python/rf-60241e9042f933de5c42,Barcelona - 04/04/2025
Data analyst SQL & Python,Accenture,Málaga - 04/04/2025,https://www.tecnoempleo.com/data-analyst-sql-python-accenture/python-sql/rf-900216f6525733f43643,Málaga - 04/04/2025
Senior Data Analyst,EPAM,Madrid - 31/03/2025,https://www.tecnoempleo.com/senior-data-analyst-epam/python-sql/rf-0fb61ba8a2f1f392f34d,Madrid - 31/03/2025
Senior Data Analyst,BNP Paribas,Madrid - 20/03/2025,https://www.tecnoempleo.com/senior-data-analyst-bnp-paribas/python-spark-kafka-tableau/rf-a5be1179a24af35fb044,Madrid - 20/03/2025
Senior Data Analyst,BNP Paribas,Madrid (Híbrido) - 19/03/2025,https://www.tecnoempleo.com/senior-data-analyst-bnp-paribas/python-spark-kafka-tableau/rf-fbc51e40928bd3edcf43,Madrid
Data Analyst,Welltech,100% remoto - 14/03/2025,https://www.tecnoempleo.com/data-analyst-welltech/tableau-sql-power-bi-qlikview/rf-ec8c1e74a2124366e14d,100% remoto - 14/03/2025
SQL Server/Data Analyst and BI Developer,The Adecco Group,Sta. Cruz De Tenerife - 23/09/2019,https://www.tecnoempleo.com/sql-server-data-analyst-and-bi-developer-sta-cruz-/sql-bi-azure/rf-830ci03411f942248ba9,Sta. Cruz De Tenerife - 23/09/2019
IT Risk & Oversight Analyst,Talan,Málaga (Híbrido) - 09/04/2026 Nueva,https://www.tecnoempleo.com/it-risk-oversight-analyst-talan/power-bi-excel/rf-17871474d235238cdd4e,Málaga
"Analista Programador IA, BI",Incoming Domain,Barcelona y otras - 09/04/2026 Actualizada 21.000€ - 30.000€ b/a,https://www.tecnoempleo.com/analista-programador-ia-bi-incoming-domain/aws-iam/rf-72231588829533203b40,Barcelona y otras - 09/04/2026 Actualizada 21.000€ - 30.000€ b/a
Developer Analyst (Python / PL/SQL),Talan,100% remoto - 09/04/2026 Actualizada,https://www.tecnoempleo.com/developer-analyst-python-pl-sql-talan/pl-sql-github/rf-06251bc3c29af30f4b4d,100% remoto - 09/04/2026 Actualizada
IT Risk & Cybersecurity Engineer - CSIRT Analyst,BNP Paribas,Madrid (Híbrido) - 09/04/2026 Actualizada,https://www.tecnoempleo.com/it-risk-cybersecurity-engineer-csirt-analyst-bnp-p/ciberseguridad-soar/rf-81e110d2826473b8a04f,Madrid
Information Protection Analyst Cybersecurity Team,Santander,Madrid - 08/04/2026,https://www.tecnoempleo.com/information-protection-analyst-cybersecurity-team-/ciberseguridad/rf-bfe7117532a0b32c2849,Madrid - 08/04/2026
Salesforce Analyst & Developer,FeverUp,Madrid (Híbrido) - 07/04/2026,https://www.tecnoempleo.com/salesforce-analyst-developer-feverup/flow-apex/rf-adf4114d220093a72644,Madrid
Manager Generative AI,Accenture,Madrid - 06/04/2026,https://www.tecnoempleo.com/manager-generative-ai-accenture/generative-ai-genai/rf-e1ea1888120693a69144,Madrid - 06/04/2026
Developer Analyst (Python / PLSQL),Talan,Málaga (Híbrido) - 03/04/2026,https://www.tecnoempleo.com/developer-analyst-python-plsql-talan/pl-sql-github/rf-c7311d4582ecf3c84843,Málaga
Technical Business Analyst / System Integration,UST,100% remoto - 03/04/2026,https://www.tecnoempleo.com/technical-business-analyst-system-integration-ust/agile-atlassian-jira/rf-8f561a9fb2af33aa1f46,100% remoto - 03/04/2026
IT Anaplan Consultant,Michael Page,Barcelona (Híbrido) - 03/04/2026,https://www.tecnoempleo.com/it-anaplan-consultant-michael-page/sap/rf-d9671b01e25d93371f43,Barcelona
Desarrollador de Power BI,GAT HOSPITALITY,Madrid (Presencial) - 01/04/2026,https://www.tecnoempleo.com/desarrollador-power-bi-gat-hospitality/power-bi-dax/rf-52a915da32f4c39b9e47,Madrid
IT Governance Analyst,HAYS,100% remoto - 01/04/2026,https://www.tecnoempleo.com/it-governance-analyst-hays/togaf-ardoq/rf-c365182d02a92309374b,100% remoto - 01/04/2026
Digital Transformation Analyst - IA specialist,Page Personnel,Barcelona - 30/03/2026,https://www.tecnoempleo.com/digital-transformation-analyst-ia-specialist-page-/google-cloud-google-wor/rf-15a11109a2b29368eb4b,Barcelona - 30/03/2026
Cybersecurity Engineering Analyst,Santander,Madrid - 30/03/2026,https://www.tecnoempleo.com/cybersecurity-engineering-analyst-santander/ciberseguridad/rf-a25e1ea142eed3296e4b,Madrid - 30/03/2026
IT / CYBER RISK COE ANALYST,Santander,Madrid - 30/03/2026,https://www.tecnoempleo.com/it-cyber-risk-coe-analyst-santander/ciberseguridad-cisa/rf-391a105ad26bb3fc7f45,Madrid - 30/03/2026
IT Applications Project Manager,Michael Page,Barcelona (Híbrido) - 30/03/2026,https://www.tecnoempleo.com/it-applications-project-manager-michael-page/ms-project-jira/rf-170b1e9232a0f344dc40,Barcelona
Model Validation Quantitative Analyst,Julius Baer,Madrid - 27/03/2026,https://www.tecnoempleo.com/model-validation-quantitative-analyst-julius-baer/python-r/rf-8d0e1b3e62825370cf46,Madrid - 27/03/2026
Salesforce Project Manager,Michael Page,Barcelona (Híbrido) - 27/03/2026,https://www.tecnoempleo.com/salesforce-project-manager-michael-page/veeva-crm-jira/rf-42031f4632e8d3311e49,Barcelona
Full stack Developer with UX Focus,BASF,Madrid - 20/03/2026,https://www.tecnoempleo.com/full-stack-developer-with-ux-focus-basf/html-css/rf-418e1e64d27ae3c79749,Madrid - 20/03/2026
Power BI Analist and Developers - DAX,Michael Page,Madrid (Híbrido) - 20/03/2026,https://www.tecnoempleo.com/power-bi-analist-and-developers-dax-michael-page/power-bi-rls/rf-183a1f2e027c93b4ce4e,Madrid
Digital Transformation Analyst - IA,Michael Page,Barcelona - 13/03/202642.000€ - 45.000€ b/a,https://www.tecnoempleo.com/digital-transformation-analyst-ia-michael-page/google-notebooklm/rf-34721473f2d9d333794b,Barcelona - 13/03/202642.000€ - 45.000€ b/a
BI Developer,Veepee,Barcelona - 05/03/2026,https://www.tecnoempleo.com/bi-developer-veepee/strategy-python/rf-29d41e04929a43af7b44,Barcelona - 05/03/2026
IT Business Analyst - ERP,Criteo,Barcelona - 26/01/2026,https://www.tecnoempleo.com/it-business-analyst-erp-criteo/oracle-fusion-erp-essbase/rf-89c2110932e343db3348,Barcelona - 26/01/2026
Salesforce Analyst & Developer,FeverUp,Madrid (Híbrido) - 23/01/2026,https://www.tecnoempleo.com/salesforce-analyst-developer-feverup/apex/rf-3fd917bfd247036f364e,Madrid
Appian Senior Developer,Accenture,Madrid - 20/01/2026,https://www.tecnoempleo.com/appian-senior-developer-accenture/bpm/rf-f60815764260a3671e47,Madrid - 20/01/2026
APPIAN Senior Developer,Accenture,Madrid - 14/11/2025,https://www.tecnoempleo.com/appian-senior-developer-accenture/appian-bpm/rf-63f11edd523303eeff4f,Madrid - 14/11/2025
SAP Analytics Sr Analyst,Accenture,Sevilla y otras - 14/11/2025,https://www.tecnoempleo.com/sap-analytics-sr-analyst-accenture/sap/rf-39841afc4233c3ed7742,Sevilla y otras - 14/11/2025
IT Business Analyst,Sopra Steria,Barcelona - 15/07/2025,https://www.tecnoempleo.com/it-business-analyst-sopra-steria/scrum-confluence/rf-f2f51fb092b5639ac94b,Barcelona - 15/07/2025
IT Solution Architect,BASF,Madrid - 06/05/2025,https://www.tecnoempleo.com/it-solution-architect-basf/power-bi-dax-etl/rf-9abc1786b20aa3263944,Madrid - 06/05/2025
IT Business Analyst,Santander,Málaga - 30/04/2025,https://www.tecnoempleo.com/it-business-analyst-santander/agile-jira-confluence/rf-8def14df82703326cf44,Málaga - 30/04/2025
Cyber Threat Detection and Prevention,Deloitte,Madrid - 14/04/2025,https://www.tecnoempleo.com/cyber-threat-detection-and-prevention-deloitte/darktrace-vectra-ai-cisco/rf-6ecf169c726c13fa8d42,Madrid - 14/04/2025
Appian Custom Software Engineering,Accenture,Madrid - 09/04/2025,https://www.tecnoempleo.com/appian-custom-software-engineering-accenture/appian-bpm-sql-java/rf-4451116cd2c6a399da42,Madrid - 09/04/2025
Technical System Software Engeneering,Santander,Málaga - 18/03/2025,https://www.tecnoempleo.com/technical-system-software-engeneering-santander/itil-six-sigma-kaizen-lean/rf-1fd11da2a20b63240b44,Málaga - 18/03/2025
